kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
亜,4e9c,1-16-01,,,7;1,8,7,1509,1,ya4;a;아;A;Á;ア;つ.ぐ,Asia;rank next;come after;-ous;Asie;suivant;sub-;sous-;pref. para indicar;venir después de;Asia;Ásia;próxima;o que vem depois;-ous,や;つぎ;つぐ
唖,5516,1-16-02,,,30,,10,,,ya1;a;아;Á;Ớ;Ứ;ア;アク;おし,mute;dumb,
娃,5a03,1-16-03,,,38,9,9,,,wa2;wae;wa;왜;와;Oa;ア;アイ;ワ;うつく.しい,beautiful,い
阿,963f,1-16-04,,,170,9,8,1126,1,a1;e1;a5;a2;a4;a;og;아;옥;A;Á;ア;オ;おもね.る;くま,Africa;flatter;fawn upon;corner;nook;recess;flatter;flagorner;Afrique;coin;recoin;A fonética;África;meandro;adular;halagar,ほとり;あず;あわ;おか;きた;な
哀,54c0,1-16-05,,,30;8,8,9,1715,1,ai1;ae;애;Ai;アイ;あわ.れ;あわ.れむ;かな.しい,pathetic;grief;sorrow;pathos;pity;sympathize;pitoyable;peine;chagrin;pitié;pathétique;compatir;compasión;lástima;miseria;piedad;pena;compadecerse de;patético;pesar;pena;emoção;compaixão;solidariesar,
愛,611b,1-16-06,,,61;87,4,13,640,2,ai4;ae;애;Ái;アイ;いと.しい;かな.しい;め.でる;お.しむ;まな,love;affection;favourite;amour;affection;favori;amor;afecto;favorito;amor;afeição;favorito,あ;あし;え;かな;なる;めぐ;めぐみ;よし;ちか
挨,6328,1-16-07,,,64,8,10,2258,,ai1;ai2;ae;애;Ai;Ải;アイ;ひら.く,approach;draw near;push open;empujar;acercarse,
姶,59f6,1-16-08,,,38,,9,,,yan3;ab;압;Áp;オウ;アイ;あい,good-looking;quiet,
逢,9022,1-16-09,,,162,9,10,2116,,feng2;bong;봉;Phùng;ホウ;あ.う;むか.える,meeting;tryst;date;rendezvous;encuentro;cita;encuentro casual;encontrarse;reunirse;citarse;verse por casualidad,あい;おう
葵,8475,1-16-10,,,140,9,12,2122,1,kui2;gyu;규;Quỳ;キ;あおい,hollyhock;malva real;malva loca,まもる;け
茜,831c,1-16-11,,,140,9,9,2422,1,qian4;xi1;cheon;천;Thiến;セン;あかね,madder;red dye;Turkey red;tinte rojo;rojo brillante,
穐,7a50,1-16-12,,,115,,16,,,qiu1;chu;추;Sắc;Thu;シュウ;あき;とき,autumn,
悪,60aa,1-16-13,,,61;1,3,11,530,3,e4;e3;wu4;ag;o;악;오;Ác;Ố;Óc;アク;オ;わる.い;わる-;あ.し;にく.い;-にく.い;ああ;いずくに;いずくんぞ;にく.む,bad;vice;rascal;false;evil;wrong;mauvais;vice;vaurien;faux;mal;malo;incorrecto;equivocado;odio;mal;mal;ruim;falso;mau;errado,
握,63e1,1-16-14,,,64,8,12,1003,1,wo4;ag;악;Ác;アク;にぎ.る,grip;hold;mould sushi;bribe;s'agripper;tenir;mouler (sushis);soudoyer;agarrar;coger;asir;empuñar;apretar con la mano;agarrar;segurar;moldar sushi;suborno,
渥,6e25,1-16-15,,,85,9,12,2257,1,wo4;ag;악;Ác;アク;あつ.い;うるお.う,kindness;moisten;bondad;amabilidad;benevolente;afectuoso;amable,あつし
旭,65ed,1-16-16,,,72,9,6,1417,1,xu4;ug;욱;Húc;キョク;あさひ,rising sun;morning sun;soleil levant;sol del amanecer;sol naciente,あきら;あき;てる;ひ
葦,8466,1-16-17,,,140,9,13,2343,,wei3;wi;위;Vi;イ;あし;よし;しお.れる;しな.びる;しぼ.む;な.える,reed;bullrush,
芦,82a6,1-16-18,,,140,9,7,1733,,lu2;lu3;ho;호;Lô;Lư;ロ;あし;よし,reed;bullrush;junco,あ
鯵,9bf5,1-16-19,,,195,,19,,,sao1;so;소;Tham;ソウ;あじ,horse mackerel;chicharro;jurel,
梓,6893,1-16-20,,,75,9,11,2301,1,zi3;jae;ja;재;자;Tử;シ;あずさ,catalpa tree;woodblock printing;catalpa;árbol del catalpa,
圧,5727,1-16-21,,,32;27,5,5,718,2,ya1;ya4;ab;압;Áp;Yểm;Yếp;アツ;エン;オウ;お.す;へ.す;おさ.える;お.さえる,pressure;push;overwhelm;oppress;dominate;pression;pousser;submerger;oppresser;dominer;presión;opresión;pressão;empurrar;inundar;oprimir;dominar,
斡,65a1,1-16-22,,,68;24,9,14,,,wo4;al;gan;알;간;Oát;Quản;アツ;カン;ワツ;めぐ.る;めぐ.らす,go around;rule;administer,
扱,6271,1-16-23,,,64,8,6,1057,1,xi1;geub;sab;급;삽;Tráp;Hấp;ソウ;キュウ;あつか.い;あつか.う;あつか.る;こ.く,handle;entertain;thresh;strip;manoeuvrer;prendre en main;battre;arracher;tratar;manejar;desempeñar;cabo;entreter;debulhar;desnudar,
