kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
亜,4e9c,1-16-01,,,7;1,8.0,7,1509.0,1.0,ya4;a;아;A;Á;ア;つ.ぐ,Asia;rank next;come after;-ous,や;つぎ;つぐ
唖,5516,1-16-02,,,30,,10,,,ya1;a;아;Á;Ớ;Ứ;ア;アク;おし,mute;dumb,
娃,5a03,1-16-03,,,38,9.0,9,,,wa2;wae;wa;왜;와;Oa;ア;アイ;ワ;うつく.しい,beautiful,い
阿,963f,1-16-04,,,170,9.0,8,1126.0,1.0,a1;e1;a5;a2;a4;a;og;아;옥;A;Á;ア;オ;おもね.る;くま,Africa;flatter;fawn upon;corner;nook;recess,ほとり;あず;あわ;おか;きた;な
哀,54c0,1-16-05,,,30;8,8.0,9,1715.0,1.0,ai1;ae;애;Ai;アイ;あわ.れ;あわ.れむ;かな.しい,pathetic;grief;sorrow;pathos;pity;sympathize,
愛,611b,1-16-06,,,61;87,4.0,13,640.0,2.0,ai4;ae;애;Ái;アイ;いと.しい;かな.しい;め.でる;お.しむ;まな,love;affection;favourite,あ;あし;え;かな;なる;めぐ;めぐみ;よし;ちか
挨,6328,1-16-07,,,64,8.0,10,2258.0,,ai1;ai2;ae;애;Ai;Ải;アイ;ひら.く,approach;draw near;push open,
姶,59f6,1-16-08,,,38,,9,,,yan3;ab;압;Áp;オウ;アイ;あい,good-looking;quiet,
逢,9022,1-16-09,,,162,9.0,10,2116.0,,feng2;bong;봉;Phùng;ホウ;あ.う;むか.える,meeting;tryst;date;rendezvous,あい;おう
葵,8475,1-16-10,,,140,9.0,12,2122.0,1.0,kui2;gyu;규;Quỳ;キ;あおい,hollyhock,まもる;け
茜,831c,1-16-11,,,140,9.0,9,2422.0,1.0,qian4;xi1;cheon;천;Thiến;セン;あかね,madder;red dye;Turkey red,
穐,7a50,1-16-12,,,115,,16,,,qiu1;chu;추;Sắc;Thu;シュウ;あき;とき,autumn,
