,kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori,rad_main,rad_sub
1,唖,5516,1-16-02,,,30,,10,,,ya1;a;아;Á;Ớ;Ứ;ア;アク;おし,mute;dumb,,30,
2,娃,5a03,1-16-03,,,38,9.0,9,,,wa2;wae;wa;왜;와;Oa;ア;アイ;ワ;うつく.しい,beautiful,い,38,
4,哀,54c0,1-16-05,,,30;8,8.0,9,1715.0,1.0,ai1;ae;애;Ai;アイ;あわ.れ;あわ.れむ;かな.しい,pathetic;grief;sorrow;pathos;pity;sympathize,,30,8
5,愛,611b,1-16-06,,,61;87,4.0,13,640.0,2.0,ai4;ae;애;Ái;アイ;いと.しい;かな.しい;め.でる;お.しむ;まな,love;affection;favourite,あ;あし;え;かな;なる;めぐ;めぐみ;よし;ちか,61,87
6,挨,6328,1-16-07,,,64,8.0,10,2258.0,,ai1;ai2;ae;애;Ai;Ải;アイ;ひら.く,approach;draw near;push open,,64,
7,姶,59f6,1-16-08,,,38,,9,,,yan3;ab;압;Áp;オウ;アイ;あい,good-looking;quiet,,38,
8,逢,9022,1-16-09,,,162,9.0,10,2116.0,,feng2;bong;봉;Phùng;ホウ;あ.う;むか.える,meeting;tryst;date;rendezvous,あい;おう,162,
9,葵,8475,1-16-10,,,140,9.0,12,2122.0,1.0,kui2;gyu;규;Quỳ;キ;あおい,hollyhock,まもる;け,140,
10,茜,831c,1-16-11,,,140,9.0,9,2422.0,1.0,qian4;xi1;cheon;천;Thiến;セン;あかね,madder;red dye;Turkey red,,140,
12,悪,60aa,1-16-13,,,61;1,3.0,11,530.0,3.0,e4;e3;wu4;ag;o;악;오;Ác;Ố;Óc;アク;オ;わる.い;わる-;あ.し;にく.い;-にく.い;ああ;いずくに;いずくんぞ;にく.む,bad;vice;rascal;false;evil;wrong,,61,1
13,握,63e1,1-16-14,,,64,8.0,12,1003.0,1.0,wo4;ag;악;Ác;アク;にぎ.る,grip;hold;mould sushi;bribe,,64,
14,渥,6e25,1-16-15,,,85,9.0,12,2257.0,1.0,wo4;ag;악;Ác;アク;あつ.い;うるお.う,kindness;moisten,あつし,85,
16,葦,8466,1-16-17,,,140,9.0,13,2343.0,,wei3;wi;위;Vi;イ;あし;よし;しお.れる;しな.びる;しぼ.む;な.える,reed;bullrush,,140,
17,芦,82a6,1-16-18,,,140,9.0,7,1733.0,,lu2;lu3;ho;호;Lô;Lư;ロ;あし;よし,reed;bullrush,あ,140,
19,梓,6893,1-16-20,,,75,9.0,11,2301.0,1.0,zi3;jae;ja;재;자;Tử;シ;あずさ,catalpa tree;woodblock printing,,75,
